step,altitude,speed,distance,ata,aspect_angle,aileron,elevator,throttle
1,6095.81,360.71,11054.3,0.551,179.679,0.55,0.8,0.9
2,6094.77,363.23,10956.4,1.764,179.859,0.55,0.8,0.9
3,6092.81,363.28,10858.49,2.662,179.946,0.55,-0.9,0.4
4,6090.34,363.2,10760.71,2.944,179.837,0.55,-0.9,0.4
5,6087.83,362.19,10663.11,2.982,179.362,0.15,-0.9,0.4
6,6085.5,360.71,10565.9,3.604,178.859,0.15,-0.9,0.4
7,6083.25,359.16,10469.08,4.802,178.825,0.15,-0.9,0.4
8,6081.0,357.61,10372.67,6.335,178.792,0.15,-0.9,0.4
9,6078.62,356.13,10276.79,8.057,179.007,0.15,-0.9,0.4
10,6075.98,356.53,10181.29,9.923,179.339,0.15,-0.9,0.8655
11,6072.94,357.06,10086.18,11.859,179.478,0.15,-0.9,0.8655
12,6069.33,357.2,9991.44,14.139,179.368,-0.25,-0.9,0.8655
13,6065.08,357.0,9897.19,16.684,179.018,-0.25,-0.9,0.8655
14,6060.31,357.02,9803.57,19.111,178.378,-0.25,-0.9,0.8655
15,6055.21,357.13,9710.67,21.469,177.998,-0.25,-0.9,0.8655
16,6050.0,356.42,9618.55,23.471,177.903,0.15,-0.9,0.4
17,6044.66,355.99,9527.13,25.328,177.551,0.15,-0.9,0.4
18,6039.15,355.42,9436.43,27.336,176.805,0.15,-0.9,0.4
19,6033.37,356.18,9346.54,29.437,176.346,0.15,-0.9,0.8655
20,6027.18,356.62,9257.55,31.876,176.236,-0.25,-0.9,0.8655
21,6020.62,356.75,9169.72,34.541,175.803,-0.25,-0.9,0.8655
22,6013.83,357.08,9083.07,37.044,175.194,-0.25,-0.9,0.8655
23,6007.06,357.44,8997.68,39.429,174.651,-0.25,-0.9,0.8655
24,6000.48,358.28,8913.41,41.459,174.285,0.15,-0.9,0.8655
25,5994.08,359.04,8830.09,43.535,174.335,-0.25,-0.9,0.8655
26,5988.12,359.21,8748.03,45.82,174.284,-0.25,-0.9,0.8655
27,5982.8,359.45,8667.25,47.883,173.978,-0.25,-0.9,0.8655
28,5978.37,359.24,8587.75,49.867,173.644,-0.65,-0.8,0.8655
29,5975.24,359.12,8509.48,51.386,172.887,-0.25,-0.8,0.8655
30,5973.24,359.96,8431.98,52.404,172.567,0.15,-0.8,0.8655
31,5972.06,361.0,8354.97,53.365,172.483,0.15,-0.8,0.8655
32,5971.88,361.19,8278.52,54.521,172.329,-0.3,-0.8,0.8655
33,5973.15,360.23,8202.81,55.588,172.468,-0.3,-0.8,0.6414
34,5975.87,359.34,8127.76,56.296,172.545,-0.3,0.6,0.6414
35,5979.53,358.9,8053.09,56.738,172.781,0.15,0.6,0.4
36,5983.34,359.0,7978.69,57.19,173.328,0.15,0.8,0.4
37,5987.02,359.13,7904.56,57.634,173.638,0.15,0.8,0.4
38,5990.42,359.38,7830.65,58.07,173.798,0.15,0.8,0.4
39,5993.4,359.71,7756.95,58.486,173.88,0.15,0.8,0.4
40,5995.9,359.6,7683.54,58.902,173.885,-0.05,0.75,0.4
41,5997.85,359.82,7610.49,59.275,173.741,0.15,0.75,0.4
42,5998.93,360.1,7537.73,59.637,173.445,0.15,0.75,0.4
43,5999.12,360.44,7465.28,59.97,173.107,0.15,0.75,0.4172
44,5998.41,360.66,7393.1,60.305,172.73,0.15,-0.9,0.4172
45,5997.13,360.95,7321.3,60.828,172.37,0.15,-0.9,0.4172
46,5996.08,360.57,7250.08,61.703,172.048,-0.3,-0.9,0.4172
47,5996.02,359.4,7179.62,62.526,171.683,-0.3,-0.45,0.4172
48,5996.78,358.7,7109.77,63.055,171.29,-0.3,0.6,0.4
49,5997.9,358.72,7040.38,63.51,170.971,0.15,0.8,0.4
50,5998.72,359.3,6971.39,64.048,170.643,0.15,0.8,0.4
51,5999.08,359.8,6902.88,64.585,170.312,0.15,0.75,0.4
52,5998.86,360.27,6834.86,65.124,169.957,0.15,0.75,0.4
53,5997.97,360.57,6767.25,65.657,169.647,0.15,-0.35,0.4
54,5996.66,361.68,6700.12,66.218,169.351,0.15,-0.8,0.6759
55,5995.53,361.59,6633.47,66.857,168.969,-0.1,-0.8,0.4172
56,5995.15,360.86,6567.42,67.464,168.545,-0.3,-0.45,0.4172
57,5995.59,360.37,6501.89,67.959,168.091,0.15,0.75,0.4
58,5996.2,360.6,6436.92,68.516,167.681,0.15,0.8,0.4
59,5996.64,360.87,6372.48,69.084,167.296,0.15,0.75,0.4
60,5996.76,361.38,6308.54,69.654,166.868,0.15,0.75,0.4517
61,5996.51,361.43,6245.18,70.245,166.439,-0.2,-0.05,0.4517
62,5996.15,361.62,6182.47,70.841,166.177,0.15,-0.3,0.4
63,5995.59,361.92,6120.39,71.469,166.317,0.15,-0.7,0.4
64,5995.26,361.62,6058.96,72.162,166.942,-0.3,-0.45,0.4517
65,5995.65,360.84,5998.11,72.743,168.105,-0.3,-0.3,0.4172
66,5996.66,360.48,5937.61,73.239,169.346,0.15,0.75,0.4
67,5997.66,360.73,5877.41,73.824,170.201,0.15,0.8,0.4
68,5998.41,360.99,5817.51,74.416,170.689,0.15,0.75,0.4
69,5998.74,361.34,5758.0,75.015,171.197,0.15,0.75,0.4
70,5998.54,361.71,5698.9,75.607,171.745,0.15,-0.05,0.4517
71,5998.03,361.88,5640.21,76.241,171.866,-0.2,-0.45,0.4517
72,5997.62,362.0,5581.94,76.874,171.74,0.15,-0.3,0.4172
73,5997.2,362.32,5524.11,77.533,171.517,0.15,-0.45,0.4
74,5997.0,362.07,5466.79,78.249,171.248,-0.3,-0.05,0.4517
75,5997.38,361.3,5410.08,78.869,170.967,-0.3,-0.3,0.4172
76,5998.27,360.98,5353.9,79.426,170.62,0.15,0.75,0.4
77,5999.13,361.21,5298.34,80.082,170.269,0.15,0.8,0.4
78,5999.64,361.43,5243.44,80.76,169.828,0.15,0.75,0.4
79,5999.64,361.75,5189.26,81.44,169.335,0.15,0.75,0.4
80,5999.11,361.51,5135.83,82.129,168.741,-0.2,-0.05,0.4517
81,5998.34,361.62,5083.16,82.81,168.033,0.15,-0.35,0.4
82,5997.3,361.92,5031.33,83.532,167.353,0.15,-0.85,0.4
83,5996.53,361.59,4980.38,84.316,166.846,-0.7,-0.45,0.4517
84,5996.53,361.16,4930.18,85.031,166.903,0.15,-0.3,0.4172
85,5996.9,361.23,4880.5,85.783,167.716,0.15,0.75,0.4
86,5997.45,361.08,4831.26,86.545,169.049,0.0,0.9,0.4517
87,5998.14,360.58,4782.42,87.276,170.208,-0.55,0.75,0.4172
88,5998.95,359.96,4733.97,87.945,170.834,0.15,0.75,0.4
89,5999.33,360.26,4685.93,88.698,171.093,0.55,0.3,0.4
90,5998.89,360.68,4638.3,89.413,171.525,0.15,-0.05,0.4517
91,5998.12,360.57,4591.12,90.215,172.097,-0.2,-0.75,0.4517
92,5997.63,360.44,4544.54,91.036,172.864,-0.1,-0.3,0.4172
93,5997.44,360.61,4498.62,91.815,174.032,0.15,-0.3,0.4172
94,5997.43,360.53,4453.46,92.593,175.462,-0.3,-0.05,0.4345
95,5997.78,360.48,4409.08,93.303,176.46,0.15,0.75,0.4345
96,5997.96,360.89,4365.37,94.029,176.584,0.15,0.75,0.4
97,5997.86,360.79,4322.23,94.748,176.365,-0.35,-0.05,0.4517
98,5997.76,360.63,4279.52,95.422,176.079,0.15,-0.35,0.4
99,5997.55,360.96,4237.21,96.142,175.969,0.15,-0.35,0.4
100,5997.35,361.22,4195.24,96.894,175.804,0.15,-0.05,0.4345
101,5997.28,360.99,4153.73,97.699,175.316,-0.3,-0.05,0.4172
102,5997.6,360.77,4112.77,98.475,174.637,0.15,-0.3,0.4345
103,5998.07,361.0,4072.53,99.28,174.079,0.15,0.75,0.4345
104,5998.53,360.86,4033.08,100.098,173.661,-0.3,-0.05,0.4345
105,5999.05,360.54,3994.38,100.894,173.089,0.15,-0.3,0.4345
106,5999.53,360.88,3956.56,101.738,172.467,0.15,-0.3,0.4345
107,6000.17,360.67,3919.63,102.632,171.729,-0.3,-0.05,0.4517
108,6001.14,360.53,3883.61,103.483,170.867,0.15,0.75,0.4345
109,6001.89,361.05,3848.52,104.334,169.71,0.15,0.75,0.4345
110,6002.29,360.87,3814.35,105.225,168.56,-0.2,-0.05,0.4345
111,6002.62,360.9,3781.1,106.106,167.771,0.15,-0.3,0.4172
112,6002.84,360.93,3748.7,107.04,167.403,-0.1,-0.3,0.4172
113,6003.35,360.29,3717.15,107.98,167.628,-0.3,-0.3,0.4172
114,6004.26,359.89,3686.32,108.853,168.397,0.15,0.75,0.4
115,6004.97,360.25,3656.11,109.756,169.497,0.15,0.8,0.4345
